local;type;surface;nb_piece;prix
2036;1;152;3;1350.0
4004;1;270;4;1800.0
2015;1;100;2;1150.0
2070;1;150;3;2500.0
1082;1;60;1;1050.0
2070;1;130;2;2000.0
1082;1;130;3;1700.0
2070;1;116;2;950.0
2070;1;180;3;3800.0
2070;1;140;3;3500.0
4022;1;140;3;1800.0
2016;1;130;3;1500.0
2070;1;70;1;1900.0
2070;1;140;2;2500.0
2070;1;144;2;1200.0
2070;1;155;3;3000.0
2070;1;160;3;2800.0
2070;1;130;2;3200.0
2015;1;210;2;1600.0
2070;1;110;2;900.0
2070;1;190;3;3000.0
1082;1;65;2;450.0
2070;1;70;1;2500.0
2070;1;150;3;3000.0
2070;1;125;2;2500.0
2070;1;160;3;1500.0
2015;1;160;2;2250.0
2070;1;70;1;1600.0
2015;1;70;1;1700.0
2070;1;120;2;3500.0
2015;1;140;3;1500.0
4180;1;80;1;450.0
2070;1;168;4;2400.0
1082;1;140;2;2000.0
1082;1;150;3;1600.0
2070;1;125;2;2500.0
4004;1;80;2;1100.0
2015;1;70;1;1050.0
2036;1;130;3;1100.0
2016;1;80;1;1500.0
1082;1;110;2;1200.0
8000;1;65;1;750.0
8050;1;65;2;650.0
2015;1;210;3;2000.0
1082;1;200;3;950.0
4004;1;100;3;1600.0
8000;1;50;1;400.0
2036;1;85;1;900.0
2070;1;250;3;3500.0
2036;1;120;2;1100.0
2070;1;84;2;2500.0
2015;1;180;3;1800.0
2070;1;100;1;1030.0
2015;1;265;3;3500.0
2015;1;70;1;1300.0
1082;1;95;2;1200.0
2070;1;130;2;2300.0
2070;1;100;2;2500.0
2070;1;70;2;1600.0
2070;1;180;3;3500.0
2070;1;60;1;1600.0
1082;1;50;1;650.0
2070;1;75;1;1350.0
2070;1;90;3;2350.0
2091;1;140;2;1400.0
2015;1;200;2;2000.0
2070;1;140;2;2500.0
2070;1;120;2;2500.0
2070;1;200;3;3500.0
2070;1;350;5;3500.0
4004;1;150;4;650.0
2070;1;130;3;1000.0
2070;1;180;4;2250.0
2036;1;124;2;1400.0
2015;1;80;1;1300.0
4004;1;150;2;1500.0
2070;1;125;3;2200.0
2070;1;120;2;2400.0
2070;1;200;3;2500.0
2070;1;150;3;950.0
2070;1;120;3;1600.0
2070;1;130;3;2800.0
1082;1;125;2;1400.0
4051;1;140;3;1200.0
4059;1;220;3;1250.0
2070;1;400;4;5000.0
2070;1;145;2;2100.0
2070;1;100;4;2000.0
2036;1;164;3;1500.0
2070;1;100;1;2400.0
2070;1;90;1;1370.0
4054;1;100;2;650.0
1082;1;170;3;1450.0
2070;1;80;1;2000.0
2015;1;72;1;2000.0
2015;1;160;2;2700.0
2070;1;230;3;3000.0
4004;1;150;2;600.0
4022;1;146;2;1200.0
2070;1;130;3;800.0
4051;1;200;4;1200.0
2070;1;100;2;1500.0
2070;1;130;3;1600.0
2070;1;300;5;3200.0
8050;1;120;3;1800.0
2070;1;120;2;4500.0
2070;1;200;3;3500.0
2070;1;470;4;1500.0
4054;1;110;3;900.0
2070;1;130;3;4000.0
2070;1;145;3;1350.0
1082;1;70;1;750.0
2036;1;180;3;2000.0
8050;1;90;2;1000.0
2070;1;200;3;4500.0
4004;1;80;1;900.0
8050;1;140;2;2501.0
2070;1;60;1;750.0
2015;1;130;2;1300.0
2070;1;150;5;6000.0
2070;1;160;3;2800.0
2097;1;120;2;650.0
2070;1;178;3;4000.0
2040;1;130;2;750.0
2016;1;120;3;1050.0
2070;1;120;2;1250.0
2070;1;110;2;2200.0
8050;1;70;1;650.0
2070;1;98;2;2300.0
2015;1;200;3;1800.0
4180;1;85;1;900.0
2070;1;173;2;5000.0
2070;1;125;3;3700.0
2070;1;150;2;3000.0
2070;1;120;2;1500.0
2070;1;90;2;2500.0
1082;1;100;2;890.0
4004;1;100;2;700.0
2070;1;160;2;1600.0
2015;1;240;4;3000.0
2070;1;250;3;3500.0
2074;1;100;3;650.0
2070;1;90;2;3500.0
1082;1;110;3;1150.0
1082;1;129;2;1300.0
8050;1;200;3;1751.0
2070;1;290;4;3300.0
1003;1;230;5;2800.0
8000;1;60;1;800.0
4004;1;60;1;650.0
8050;1;155;3;1200.0
2070;1;120;2;1800.0
2070;1;70;1;1000.0
4054;1;140;3;900.0
4004;1;110;2;1200.0
1082;1;190;4;1900.0
2070;1;140;3;7000.0
2036;1;124;2;1400.0
4054;1;120;3;850.0
2070;1;150;3;1800.0
2070;1;130;1;1250.0
2070;1;150;3;1600.0
2070;1;80;2;1800.0
2070;1;65;1;990.0
4004;1;200;3;1300.0
8050;1;125;2;750.0
2070;1;150;5;6000.0
2070;1;110;2;850.0
2036;1;120;2;1100.0
2015;1;140;2;2000.0
2070;1;120;2;1600.0
2070;1;180;4;3000.0
2070;1;115;2;1000.0
2070;1;120;3;1800.0
1082;1;50;1;650.0
8050;1;130;2;2701.0
2070;1;127;2;2800.0
2060;1;100;2;1800.0
2070;1;80;1;2000.0
8050;1;100;2;450.0
2070;1;130;2;1500.0
2089;1;130;3;1500.0
1082;1;150;2;1500.0
1082;1;135;3;800.0
4054;1;120;2;1300.0
2070;1;120;2;1300.0
2070;1;145;3;1000.0
2070;1;105;2;900.0
2070;1;220;4;2000.0
2036;1;180;3;1800.0
2070;1;180;4;2300.0
2070;1;100;3;2200.0
8050;1;120;2;550.0
2070;1;180;3;3500.0
2070;1;170;2;2400.0
4022;1;120;2;1200.0
2070;1;59;1;2500.0
2070;1;60;2;1300.0
2070;1;150;3;3000.0
2070;1;80;1;1800.0
2015;1;80;1;1200.0
4004;1;80;2;550.0
2070;1;178;3;2500.0
2070;1;70;1;1000.0
2015;1;50;1;850.0
2070;1;50;1;850.0
2070;1;220;5;3500.0
2070;1;200;4;4000.0
8050;1;135;3;1650.0
2070;1;220;3;4000.0
4059;1;220;3;1250.0
8050;1;70;1;650.0
2015;1;128;2;1200.0
2089;1;130;3;1500.0
2040;1;100;3;600.0
2070;1;200;3;3100.0
8000;1;110;2;850.0
2070;1;300;4;5500.0
2070;1;120;2;1400.0
2036;1;60;1;900.0
4004;1;220;3;2500.0
4022;1;150;3;900.0
2016;1;100;3;1200.0
2070;1;60;1;1800.0
8050;1;150;2;850.0
2070;1;150;2;4500.0
2070;1;120;2;2500.0
4004;1;130;2;1200.0
2070;1;85;1;2500.0
2070;1;260;3;3200.0
2070;1;160;4;4000.0
2070;1;65;1;1600.0
2070;1;120;3;2500.0
4022;1;45;1;500.0
2070;1;100;2;1600.0
2015;1;70;1;1700.0
2074;1;130;3;800.0
2016;1;150;3;3500.0
1000;1;130;2;3800.0
2070;1;140;3;5000.0
2070;1;125;3;3500.0
2070;1;80;2;3500.0
8050;1;120;2;1201.0
2070;1;145;2;2300.0
2091;1;140;2;1400.0
8000;1;120;3;750.0
2070;1;190;2;1550.0
2070;1;120;3;1900.0
4022;1;80;2;700.0
2070;1;160;3;3500.0
2070;1;100;2;1600.0
8050;1;70;1;450.0
1003;1;95;3;1450.0
8050;1;120;3;1201.0
2015;1;100;1;1700.0
4054;1;200;4;1600.0
2015;1;96;2;1650.0
2070;1;110;2;2500.0
2070;1;160;3;1900.0
2070;1;140;4;900.0
2091;1;120;2;1800.0
4051;1;150;3;850.0
2070;1;65;2;2500.0
2070;1;250;3;4500.0
2070;1;110;3;1700.0
2070;1;170;2;5500.0
2036;1;163;3;1350.0
4004;1;130;3;1700.0
2070;1;100;2;1600.0
1082;1;170;3;1350.0
8050;1;120;2;900.0
2070;1;120;2;1600.0
4004;1;90;2;1200.0
2070;1;120;3;2500.0
2070;1;180;3;3500.0
2015;1;95;1;1200.0
4004;1;62;1;1050.0
2070;1;180;3;2400.0
4004;1;100;2;1000.0
4051;1;100;3;750.0
2070;1;220;4;6000.0
2070;1;150;3;2200.0
2070;1;160;3;2500.0
2070;1;180;2;2800.0
2015;1;147;2;2500.0
2070;1;160;3;2000.0
2070;1;173;2;5000.0
2070;1;90;2;2500.0
2070;1;60;1;1600.0
2016;1;75;1;750.0
2070;1;160;3;1400.0
7000;1;500;8;6000.0
2070;1;135;3;1800.0
8050;1;100;2;1000.0
2040;1;160;2;700.0
8000;1;65;1;1301.0
2070;1;110;2;3000.0
2070;1;200;3;2800.0
2089;1;100;2;750.0
2070;1;170;3;4000.0
2070;1;80;2;1000.0
2036;1;300;4;4300.0
2040;1;150;3;700.0
4004;1;100;3;1200.0
4012;1;100;2;900.0
2070;1;220;4;4300.0
4051;1;100;2;1200.0
2070;1;120;2;2200.0
1082;1;65;2;450.0
2070;1;80;2;2200.0
1082;1;190;2;850.0
2091;1;100;2;1200.0
2070;1;95;2;1000.0
2016;1;150;2;1200.0
2070;1;60;2;1400.0
2097;1;200;2;1250.0
2070;1;170;2;4500.0
2036;1;100;2;1200.0
4051;1;60;1;450.0
4054;1;100;2;650.0
2070;1;350;3;3700.0
8000;1;170;4;1500.0
8000;1;170;4;1500.0
4051;1;90;3;800.0
2070;1;150;2;2500.0
2015;1;100;2;1150.0
8050;1;90;2;1000.0
4022;1;60;2;800.0
4004;1;100;3;900.0
2091;1;112;2;1500.0
4051;1;200;4;1200.0
2070;1;240;3;3500.0
4054;1;120;2;900.0
1082;1;90;1;1000.0
2070;1;240;4;2800.0
2089;1;120;3;800.0
2070;1;75;2;3000.0
2015;1;80;1;1200.0
2036;1;60;1;1000.0
2070;1;70;1;2500.0
2015;1;190;3;1800.0
2070;1;140;4;900.0
4022;1;146;2;1200.0
2070;1;200;3;3500.0
2070;1;230;3;4500.0
2070;1;105;2;1500.0
2070;1;300;3;5500.0
2070;1;80;1;2100.0
2070;1;130;2;2800.0
2070;1;200;4;2500.0
4004;1;250;3;4500.0
1082;1;220;3;1250.0
2070;1;200;3;3300.0
2070;1;220;3;4000.0
2070;1;140;3;2500.0
2070;1;300;3;5700.0
4051;1;150;3;1600.0
2015;1;180;3;2000.0
2070;1;80;1;1800.0
1082;1;80;2;750.0
2070;1;139;2;1850.0
2016;1;110;2;1900.0
2016;1;200;3;2300.0
2070;1;290;4;3300.0
8050;1;90;3;650.0
2070;1;140;2;1800.0
2015;1;75;1;1500.0
4054;1;65;2;550.0
2070;1;110;2;850.0
2070;1;123;2;2000.0
2015;1;70;1;1800.0
2034;1;70;1;1200.0
2070;1;140;2;2200.0
2070;1;130;3;3500.0
1082;1;130;2;2300.0
2040;1;160;3;1000.0
2036;1;160;3;1400.0
1082;1;100;2;2000.0
2070;1;260;3;5500.0
8050;1;60;1;130.0
2070;1;200;4;4800.0
1082;1;80;2;800.0
2070;1;220;4;5000.0
2070;1;100;4;1350.0
1082;1;160;4;1500.0
1082;1;240;6;2200.0
2070;1;180;3;2100.0
1082;1;140;2;1200.0
2070;1;180;4;2200.0
2070;1;60;1;1300.0
2070;1;150;2;2700.0
8050;1;150;2;1301.0
2070;1;150;3;3000.0
2070;1;300;3;4800.0
2070;1;100;3;1600.0
2070;1;80;1;900.0
2070;1;65;1;1500.0
2070;1;140;2;2400.0
4022;1;120;2;1200.0
2070;1;300;5;4000.0
2015;1;190;3;2000.0
2015;1;85;2;1150.0
2070;1;65;2;2500.0
2083;1;150;4;1200.0
2091;1;68;1;1000.0
2016;1;350;4;4000.0
4180;1;85;1;900.0
2070;1;100;2;1200.0
2070;1;125;2;1550.0
2015;1;85;1;1600.0
2070;1;135;3;2200.0
2070;1;123;2;2000.0
2070;1;320;3;2500.0
4022;1;100;2;630.0
2015;1;72;1;2000.0
8050;1;100;2;1301.0
4004;1;100;3;1200.0
8050;1;125;2;750.0
1003;1;70;1;850.0
2070;1;160;2;3000.0
8050;1;150;3;1000.0
2036;1;124;2;1700.0
8000;1;150;3;951.0
2015;1;157;3;1900.0
2070;1;160;2;1450.0
8050;1;100;2;1200.0
2070;1;150;2;3000.0
1082;1;112;1;1100.0
2016;1;90;2;1300.0
2091;1;80;1;1100.0
2015;1;130;2;1200.0
2070;1;120;2;1000.0
4004;1;100;3;1000.0
2070;1;144;2;1200.0
2070;1;180;2;2400.0
2070;1;150;2;2200.0
8050;1;80;2;1150.0
2070;1;110;2;850.0
2070;1;172;4;2000.0
2070;1;120;2;2100.0
2070;1;130;2;2000.0
2070;1;70;1;1800.0
2036;1;60;1;1000.0
2070;1;100;2;2400.0
2015;1;225;3;3000.0
2070;1;200;3;3200.0
1082;1;147;2;1700.0
2089;1;110;2;800.0
2070;1;140;2;1500.0
4004;1;100;2;950.0
8000;1;65;1;750.0
2070;1;130;3;2000.0
2070;1;190;3;3500.0
2015;1;130;2;1300.0
2091;1;100;3;1000.0
2070;1;100;2;1500.0
2070;1;200;3;3800.0
2070;1;140;3;1250.0
2070;1;80;2;1300.0
2070;1;125;2;2300.0
2070;1;194;3;3500.0
2070;1;280;4;6000.0
2036;1;130;3;1400.0
2070;1;150;3;7000.0
2036;1;150;2;2500.0
2015;1;128;2;1200.0
2070;1;335;3;2300.0
8050;1;110;2;800.0
2070;1;190;3;2000.0
4004;1;150;2;600.0
1082;1;195;3;1700.0
4022;1;70;2;750.0
2070;1;173;2;5000.0
2070;1;85;1;950.0
2015;1;85;2;1000.0
2070;1;120;3;1500.0
2070;1;300;3;3200.0
4054;1;90;2;700.0
1082;1;178;3;1250.0
2070;1;200;3;3500.0
2070;1;140;3;2500.0
2070;1;145;2;1600.0
2070;1;100;2;3500.0
2070;1;145;3;3500.0
2070;1;110;2;2500.0
2070;1;168;3;3000.0
2070;1;170;4;2200.0
2070;1;120;3;1500.0
2070;1;200;4;4000.0
2070;1;180;2;2800.0
2016;1;130;3;1500.0
4022;1;146;2;1200.0
2070;1;178;3;4000.0
1082;1;105;2;1400.0
2070;1;300;3;3500.0
4004;1;160;3;850.0
2070;1;140;3;1300.0
2070;1;150;4;1600.0
2070;1;70;1;1500.0
1082;1;200;3;950.0
2070;1;100;2;1500.0
2070;1;75;1;2500.0
2083;1;70;3;1050.0
1082;1;70;2;420.0
4022;1;200;2;650.0
1082;1;120;3;900.0
4004;1;50;1;600.0
2070;1;160;3;4200.0
2036;1;120;2;1100.0
2070;1;220;4;2000.0
8013;1;130;2;760.0
2070;1;250;4;3500.0
8000;1;85;1;700.0
2070;1;150;2;2700.0
2070;1;158;3;1300.0
2070;1;100;3;1600.0
4059;1;140;3;1000.0
2016;1;130;2;2000.0
2070;1;200;3;3000.0
2070;1;150;3;3700.0
1082;1;120;3;1800.0
2070;1;200;3;4400.0
2070;1;170;3;2850.0
4004;1;100;2;1100.0
2070;1;170;4;2500.0
2070;1;60;1;1200.0
2040;1;120;3;900.0
2070;1;70;1;1200.0
2070;1;80;2;1600.0
4051;1;60;1;450.0
2070;1;150;2;2150.0
2070;1;160;3;2200.0
2016;1;150;2;1200.0
2015;1;200;3;2000.0
2091;1;100;2;1200.0
8000;1;70;1;800.0
2070;1;80;2;2400.0
2097;1;120;2;650.0
2070;1;180;3;3200.0
2036;1;60;1;1100.0
4004;1;100;3;1200.0
2070;1;80;2;1800.0
2070;1;180;4;2500.0
2060;1;90;2;900.0
1082;1;85;2;600.0
2015;1;160;3;1850.0
2070;1;200;3;2500.0
2070;1;120;2;1250.0
2070;1;250;3;6000.0
2070;1;170;3;3000.0
2070;1;90;2;1300.0
2070;1;100;4;1350.0
2036;1;55;1;1200.0
4059;1;80;2;600.0
2070;1;125;2;2300.0
2016;1;150;2;1200.0
2070;1;120;3;1500.0
2070;1;121;2;1800.0
8050;1;140;3;1000.0
2070;1;100;2;1500.0
2070;1;186;3;2500.0
8000;1;60;1;800.0
2015;1;120;3;1500.0
2070;1;190;3;2500.0
2070;1;160;2;3000.0
2070;1;120;2;3500.0
4004;1;100;2;1000.0
2070;1;130;2;3300.0
2070;1;50;1;1200.0
2070;1;125;2;2500.0
2070;1;133;2;1800.0
2015;1;80;1;850.0
4004;1;140;3;1500.0
2036;1;130;2;1350.0
2070;1;655;7;5000.0
4059;1;110;2;1200.0
2070;1;80;1;1600.0
2015;1;70;2;960.0
2070;1;121;2;1800.0
2015;1;230;4;3000.0
2070;1;133;4;1500.0
4004;1;200;3;850.0
8050;1;200;2;4500.0
4004;1;177;3;1000.0
2070;1;150;2;3000.0
2070;1;120;2;1500.0
2070;1;250;3;2500.0
1082;1;185;3;2000.0
2036;1;68;1;1500.0
2015;1;170;3;2400.0
1082;1;70;1;750.0
2036;1;77;1;1150.0
2070;1;140;2;2500.0
2036;1;300;4;4300.0
2070;1;80;3;2200.0
2070;1;250;3;3500.0
2070;1;80;1;1600.0
2070;1;65;2;1300.0
2070;1;150;2;1400.0
2070;1;250;3;3500.0
8050;1;70;1;650.0
2070;1;90;2;2500.0
2070;1;100;2;1500.0
2070;1;120;2;3200.0
2070;1;180;3;3200.0
2016;1;150;2;1200.0
2070;1;168;4;2400.0
2015;1;80;1;1100.0
2089;1;130;3;1100.0
2070;1;130;2;1800.0
2070;1;150;5;6000.0
4216;1;90;1;1400.0
2091;1;100;2;1200.0
2070;1;500;2;7000.0
2016;1;150;2;1200.0
4054;1;90;2;700.0
4059;1;80;2;600.0
2070;1;80;2;1200.0
2070;1;200;3;2200.0
2036;1;140;3;1450.0
8000;1;120;2;800.0
2070;1;130;3;4000.0
2070;1;140;3;4000.0
2070;1;250;4;4800.0
2036;1;100;2;1200.0
2070;1;80;1;900.0
2016;1;250;3;5000.0
2070;1;150;2;4000.0
2070;1;120;4;4000.0
2015;1;70;1;2000.0
2070;1;185;2;2500.0
2070;1;150;4;4000.0
2070;1;120;2;3000.0
4022;1;56;1;600.0
2070;1;170;3;2000.0
4022;1;130;3;1200.0
2016;1;180;3;2300.0
2070;1;235;3;3500.0
2083;1;117;3;1250.0
